severity,created_at,logger,module,message,request_id,pod_name,namespace,container_name,cluster_name,node_name
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:06,256 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:06 +0000] [200] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:16 +0000] [200] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:16,255 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:16,256 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:16 +0000] [200] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:26 +0000] [199] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:26,254 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:26,254 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:26 +0000] [199] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:36 +0000] [200] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:36,259 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:36,259 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:36 +0000] [200] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:46 +0000] [199] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:46,255 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:46,255 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:46 +0000] [199] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:56 +0000] [200] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:56,259 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:02:56,259 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:02:56 +0000] [200] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:06 +0000] [200] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:06,257 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:06,257 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:06 +0000] [200] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:13 +0000] [200] [DEBUG] POST /api/auth/login_with_refresh_token/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,14:03:13 [Q] INFO Enqueued 26470,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:13,929 [36mPOST /api/auth/login_with_refresh_token/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:13,930 [36mPOST /api/auth/login_with_refresh_token/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:13 +0000] [200] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:16 +0000] [199] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:16,255 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:16,256 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:16 +0000] [199] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:26 +0000] [200] [DEBUG] GET /api/workspaces/ready/,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:26,255 [36mGET /api/workspaces/ready/[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,"request INFO quickbooks-connector-api 2025-02-26 14:03:26,256 [36mGET /api/workspaces/ready/ - 200[0m",,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
,,,,[2025-02-26 14:03:26 +0000] [200] [DEBUG] Closing connection.,,quickbooks-connector-api-65f5d5d9cc-pnnjq,integrations,quickbooks-connector-api,production-us1-2025-02-15,ip-192-196-42-108.ec2.internal
